rank,client_hash_id,content_hash_id,action_score,predicted_label,model_confidence,reason_code,action_label,total_impressions,clicks_a,ctr,avg_position,position_volatility,active_gsc_days,volume_tier
87,client_9958f0a7ae1df715,content_500ffc91a8fd16ae,95.63,declining,0.9466666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,12126.0,99.0,0.0082,13.69,13.85,92,high
88,client_9958f0a7ae1df715,content_24596c453886608e,95.63,declining,0.9666666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,6765.0,52.0,0.0077,7.9,9.3,91,high
89,client_9958f0a7ae1df715,content_aa18d8703f4264bc,95.6,declining,0.9933333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,3731.0,28.0,0.0075,12.73,15.2,91,high
90,client_9958f0a7ae1df715,content_d95427e897481b6f,95.57,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,6059.0,40.0,0.0066,13.56,11.0,92,high
91,client_23a62021009f63c4,content_c9ae751271ce7301,95.54,declining,0.9233333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,36280.0,201.0,0.0055,11.2,6.73,92,high
92,client_9958f0a7ae1df715,content_88d500a55bd9b986,95.53,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5954.0,43.0,0.0072,16.87,12.96,92,high
93,client_9958f0a7ae1df715,content_942210a707f08ab3,95.5,declining,0.95,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,10016.0,21.0,0.0021,17.93,24.43,92,high
94,client_23a62021009f63c4,content_6a0435fa9144133b,95.46,declining,0.9233333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,30902.0,169.0,0.0055,4.71,2.78,92,high
95,client_9958f0a7ae1df715,content_024ce2b70564da8d,95.46,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,8882.0,62.0,0.007,11.49,10.75,92,high
96,client_9958f0a7ae1df715,content_046c65c063fb8997,95.46,declining,0.9766666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5004.0,78.0,0.0156,7.78,11.13,90,high
97,client_9958f0a7ae1df715,content_62aa8876ce60a8e2,95.45,declining,0.92,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,48280.0,421.0,0.0087,5.93,7.7,92,high
98,client_9958f0a7ae1df715,content_b53af52dec1ef519,95.45,declining,0.92,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,48003.0,372.0,0.0077,8.2,4.51,92,high
99,client_9958f0a7ae1df715,content_55a98b7d2d57f97d,95.44,declining,0.92,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,47265.0,131.0,0.0028,6.92,1.49,92,high
100,client_9958f0a7ae1df715,content_8b3fd1ac52ae2bdd,95.4,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5644.0,27.0,0.0048,15.75,17.01,91,high
101,client_9958f0a7ae1df715,content_854de1300db61272,95.38,declining,0.98,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,4500.0,74.0,0.0164,13.45,10.57,92,high
102,client_9958f0a7ae1df715,content_545c0138d6555224,95.37,declining,0.94,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,13164.0,57.0,0.0043,12.4,12.83,92,high
103,client_9958f0a7ae1df715,content_d90e9f73a7c8770c,95.35,declining,0.9433333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,11446.0,12.0,0.001,17.76,16.75,92,high
104,client_9958f0a7ae1df715,content_fa93da87daeb8346,95.35,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,3884.0,28.0,0.0072,18.91,14.2,91,high
105,client_9958f0a7ae1df715,content_2b6196f74096088c,95.34,declining,0.9433333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,11345.0,110.0,0.0097,11.84,12.81,92,high
106,client_9958f0a7ae1df715,content_28a4dc5e36dacef2,95.32,declining,0.9533333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,8249.0,49.0,0.0059,13.02,10.49,92,high
107,client_23a62021009f63c4,content_4e2b05229bdc3ca6,95.32,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5099.0,63.0,0.0124,10.07,11.93,92,high
108,client_9958f0a7ae1df715,content_4b90d8f71a8d9c59,95.32,declining,0.9733333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5098.0,35.0,0.0069,17.77,19.14,92,high
109,client_9958f0a7ae1df715,content_8e9567a5421c33df,95.32,declining,0.9866666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,3849.0,21.0,0.0055,16.37,17.01,92,high
110,client_23a62021009f63c4,content_104fc4cdb99abf95,95.23,declining,0.9366666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,13554.0,331.0,0.0244,6.16,5.51,89,high
111,client_9958f0a7ae1df715,content_36c465073a58c847,95.22,declining,0.9166666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,41468.0,179.0,0.0043,7.38,2.8,92,high
112,client_9958f0a7ae1df715,content_31cfac2a93601558,95.22,declining,0.9433333333333334,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,10515.0,72.0,0.0068,13.11,8.93,92,high
113,client_9958f0a7ae1df715,content_94ff3788be714c62,95.2,declining,0.92,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,27203.0,62.0,0.0023,9.48,9.95,92,high
114,client_23a62021009f63c4,content_a674917bb86d3204,95.19,declining,0.9566666666666667,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,7112.0,49.0,0.0069,10.93,7.09,92,high
115,client_9958f0a7ae1df715,content_bb21ed876add58ae,95.19,declining,0.99,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,3471.0,36.0,0.0104,17.28,20.17,92,high
116,client_9958f0a7ae1df715,content_cf2ec827735e3f48,95.18,declining,0.9166666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,36682.0,191.0,0.0052,4.32,3.42,92,high
117,client_23a62021009f63c4,content_7bc599cee4024d4e,95.18,declining,0.9333333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,15143.0,188.0,0.0124,10.86,5.93,92,high
118,client_23a62021009f63c4,content_1dfc4a6a4797ad7d,95.17,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,17747.0,91.0,0.0051,12.82,8.69,92,high
119,client_9958f0a7ae1df715,content_f403f903e2d86a15,95.14,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5102.0,46.0,0.009,10.28,11.05,92,high
120,client_9958f0a7ae1df715,content_a4629cbb558e1c4b,95.13,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,17141.0,216.0,0.0126,6.45,4.07,92,high
121,client_9958f0a7ae1df715,content_e4517d2252616e0d,95.12,declining,0.93,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,16866.0,109.0,0.0065,19.26,18.74,92,high
122,client_9958f0a7ae1df715,content_e802d6e7a49c9bc1,95.11,declining,0.9133333333333333,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,53240.0,310.0,0.0058,7.84,3.44,92,high
123,client_23a62021009f63c4,content_7694b71755081c15,95.11,declining,0.9266666666666666,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,20158.0,116.0,0.0058,9.06,4.58,92,high
124,client_9958f0a7ae1df715,content_ee489febb0c20846,95.11,declining,0.97,HIGH_VOLUME_DECLINE_RISK,REVIEW_AND_IMPROVE,5040.0,49.0,0.0097,18.89,17.6,91,high
